Data,Numero_Indice_Total,Var.  Mensal (%)Total,Var. em 12 meses (%)Total,Preço médio (R$/m²)Total
jan/20,"102,7","+0,07%","+6,97%","17,7"
fev/20,"101,8"," -0,86%","+5,92%","17,6"
mar/20,"101,2"," -0,62%","+4,60%","17,5"
abr/20,101," -0,22%","+2,61%","17,4"
mai/20,"101,1","+0,12%"," -0,02%","17,4"
jun/20,"102,3","+1,17%","+0,29%","17,6"
jul/20,"102,7","+0,39%","+0,48%","17,7"
ago/20,"102,4"," -0,23%"," -0,12%","17,7"
set/20,"101,2"," -1,17%"," -0,99%","17,5"
out/20,"101,4","+0,16%"," -0,83%","17,5"
nov/20,"102,3","+0,88%"," -0,39%","17,6"
dez/20,"102,9","+0,60%","+0,26%","17,7"
jan/21,"102,5"," -0,36%"," -0,17%","17,7"
fev/21,102," -0,56%","+0,14%","17,6"
mar/21,"102,1","+0,11%","+0,87%","17,6"
abr/21,102," -0,10%","+0,99%","17,6"
mai/21,"102,7","+0,69%","+1,57%","17,7"
jun/21,"103,5","+0,82%","+1,21%","17,9"
jul/21,"104,7","+1,15%","+1,97%","18,1"
ago/21,"106,9","+2,10%","+4,36%","18,4"
set/21,"108,2","+1,25%","+6,91%","18,7"
out/21,"110,3","+1,85%","+8,73%",19
nov/21,"111,3","+0,99%","+8,85%","19,2"
dez/21,"112,7","+1,25%","+9,55%","19,4"
jan/22,"113,9","+1,06%","+11,11%","19,7"
fev/22,"116,6","+2,36%","+14,37%","20,1"
mar/22,"120,3","+3,19%","+17,89%","20,8"
abr/22,"123,6","+2,72%","+21,23%","21,3"
mai/22,"125,6","+1,58%","+22,30%","21,7"
jun/22,"128,1","+2,05%","+23,79%","22,1"
jul/22,"132,6","+3,52%","+26,68%","22,9"
ago/22,"136,9","+3,17%","+28,01%","23,6"
set/22,"139,2","+1,69%","+28,56%",24
out/22,"137,8"," -0,97%","+24,99%","23,8"
nov/22,"138,1","+0,18%","+23,99%","23,8"
dez/22,"136,8"," -0,92%","+21,33%","23,6"
jan/23,"139,4","+1,94%","+22,39%","24,1"
fev/23,"141,5","+1,46%","+21,32%","24,4"
mar/23,"147,4","+4,15%","+22,45%","25,4"
abr/23,"152,1","+3,22%","+23,04%","26,2"
mai/23,"153,6","+1,00%","+22,35%","26,5"
jun/23,"155,3","+1,12%","+21,23%","26,8"
jul/23,"156,6","+0,84%","+18,09%",27
ago/23,"159,8","+2,04%","+16,80%","27,6"
set/23,"162,3","+1,56%","+16,65%",28
out/23,"164,9","+1,59%","+19,67%","28,4"
nov/23,"167,5","+1,59%","+21,35%","28,9"
dez/23,"166,8"," -0,43%","+21,95%","28,8"
jan/24,166," -0,49%","+19,04%","28,6"
fev/24,"165,8"," -0,11%","+17,19%","28,6"
mar/24,"169,5","+2,21%","+15,01%","29,2"
abr/24,"173,3","+2,27%","+13,95%","29,9"
mai/24,"174,8","+0,83%","+13,75%","30,1"
jun/24,"176,3","+0,89%","+13,50%","30,4"
jul/24,"178,7","+1,36%","+14,09%","30,8"
ago/24,"184,6","+3,28%","+15,48%","31,8"
set/24,"187,3","+1,49%","+15,41%","32,3"
out/24,"188,5","+0,62%","+14,30%","32,5"
nov/24,"189,9","+0,75%","+13,36%","32,8"
dez/24,"191,3","+0,73%","+14,68%",33
jan/25,"192,2","+0,45%","+15,76%","33,1"
fev/25,"194,5","+1,21%","+17,29%","33,5"
mar/25,"198,7","+2,16%","+17,24%","34,3"
abr/25,"202,8","+2,06%","+17,00%",35
mai/25,,,,
