Recife,Imóveis residenciais – Venda,,,,Imóveis residenciais-Locação,,,,Imóveis residenciais-Rentabilidade do aluguel (rental yield)
,Número-Índice,Var. mensal (%),Var. em 12 meses (%),Preço médio (R$/m²),Número-Índice,Var. mensal (%),Var. em 12 meses (%),Preço médio (R$/m²),(% - mensalizada)
Data,Total,Total,Total,Total,Total,Total,Total,Total,Total
jan/20,"195,5","+0,00%"," -1,23%",6228,"120,3","+1,03%","+7,68%","31,4","0,47%"
fev/20,"194,9"," -0,32%"," -1,43%",6208,"120,7","+0,36%","+6,65%","31,5","0,48%"
mar/20,"193,8"," -0,55%"," -1,55%",6174,"121,7","+0,84%","+7,21%","31,8","0,49%"
abr/20,"193,4"," -0,21%"," -1,61%",6161,"122,6","+0,70%","+7,58%",32,"0,49%"
mai/20,"190,6"," -1,47%"," -2,63%",6070,"122,6","+0,03%","+7,34%",32,"0,50%"
jun/20,"187,9"," -1,38%"," -4,02%",5986,"121,9"," -0,59%","+7,17%","31,8","0,50%"
jul/20,"184,7"," -1,72%"," -5,54%",5883,"121,4"," -0,41%","+7,25%","31,7","0,51%"
ago/20,"185,9","+0,67%"," -4,82%",5923,"121,6","+0,14%","+8,64%","31,7","0,51%"
set/20,"188,2","+1,20%"," -3,49%",5994,"121,9","+0,30%","+9,50%","31,8","0,50%"
out/20,"191,3","+1,68%"," -1,65%",6094,"122,6","+0,56%","+9,28%",32,"0,50%"
nov/20,"193,7","+1,22%"," -0,56%",6168,"123,6","+0,77%","+6,99%","32,2","0,50%"
dez/20,"194,8","+0,59%"," -0,38%",6204,125,"+1,17%","+5,00%","32,6","0,50%"
jan/21,195,"+0,10%"," -0,28%",6210,"126,1","+0,88%","+4,84%","32,9","0,51%"
fev/21,"194,9"," -0,06%"," -0,02%",6206,"127,6","+1,16%","+5,68%","33,3","0,51%"
mar/21,"194,9","+0,01%","+0,53%",6207,"128,3","+0,55%","+5,38%","33,5","0,52%"
abr/21,"195,4","+0,29%","+1,04%",6225,"128,8","+0,39%","+5,05%","33,6","0,52%"
mai/21,"196,5","+0,56%","+3,12%",6259,129,"+0,18%","+5,20%","33,7","0,51%"
jun/21,"197,6","+0,54%","+5,13%",6293,"129,4","+0,28%","+6,12%","33,8","0,51%"
jul/21,"198,7","+0,59%","+7,60%",6330,131,"+1,27%","+7,91%","34,2","0,51%"
ago/21,"199,5","+0,38%","+7,28%",6354,"133,4","+1,81%","+9,72%","34,8","0,52%"
set/21,"200,1","+0,33%","+6,36%",6375,"135,4","+1,51%","+11,03%","35,3","0,53%"
out/21,"200,9","+0,39%","+5,01%",6400,"136,9","+1,14%","+11,68%","35,7","0,53%"
nov/21,"202,1","+0,60%","+4,37%",6438,"137,5","+0,43%","+11,30%","35,9","0,53%"
dez/21,203,"+0,42%","+4,20%",6465,139,"+1,07%","+11,19%","36,3","0,54%"
jan/22,"203,6","+0,30%","+4,41%",6484,"140,8","+1,30%","+11,66%","36,7","0,54%"
fev/22,"204,3","+0,33%","+4,82%",6506,"143,6","+1,96%","+12,54%","37,5","0,55%"
mar/22,"205,1","+0,40%","+5,23%",6532,"145,4","+1,26%","+13,33%","37,9","0,56%"
abr/22,"207,6","+1,25%","+6,25%",6614,"148,8","+2,35%","+15,54%","38,8","0,56%"
mai/22,"210,3","+1,26%","+6,99%",6697,"151,6","+1,89%","+17,51%","39,6","0,57%"
jun/22,"213,1","+1,37%","+7,87%",6789,"154,8","+2,09%","+19,64%","40,4","0,57%"
jul/22,"214,2","+0,50%","+7,78%",6823,"156,2","+0,94%","+19,24%","40,8","0,58%"
ago/22,"215,1","+0,40%","+7,80%",6850,"157,7","+0,97%","+18,26%","41,2","0,58%"
set/22,"216,8","+0,82%","+8,34%",6906,"159,5","+1,14%","+17,83%","41,6","0,58%"
out/22,"219,7","+1,32%","+9,34%",6997,"160,5","+0,63%","+17,23%","41,9","0,58%"
nov/22,"223,5","+1,75%","+10,60%",7120,"161,6","+0,66%","+17,50%","42,2","0,57%"
dez/22,226,"+1,11%","+11,35%",7199,"162,7","+0,70%","+17,07%","42,5","0,57%"
jan/23,"227,2","+0,51%","+11,58%",7236,"164,1","+0,86%","+16,55%","42,8","0,57%"
fev/23,"227,1"," -0,02%","+11,19%",7234,"166,7","+1,57%","+16,11%","43,5","0,58%"
mar/23,"228,4","+0,59%","+11,40%",7276,167,"+0,18%","+14,87%","43,6","0,58%"
abr/23,"230,4","+0,85%","+10,96%",7338,"167,9","+0,55%","+12,86%","43,8","0,58%"
mai/23,"232,5","+0,93%","+10,60%",7407,"168,2","+0,16%","+10,94%","43,9","0,58%"
jun/23,234,"+0,64%","+9,81%",7454,"169,3","+0,67%","+9,40%","44,2","0,58%"
jul/23,"234,7","+0,28%","+9,57%",7476,"170,4","+0,66%","+9,10%","44,5","0,58%"
ago/23,"235,1","+0,16%","+9,31%",7488,"173,5","+1,76%","+9,96%","45,3","0,59%"
set/23,"234,5"," -0,24%","+8,15%",7469,"177,3","+2,24%","+11,16%","46,3","0,60%"
out/23,"234,9","+0,16%","+6,91%",7481,"180,2","+1,59%","+12,22%",47,"0,61%"
nov/23,"235,8","+0,39%","+5,48%",7510,"181,2","+0,60%","+12,16%","47,3","0,61%"
dez/23,"237,8","+0,84%","+5,21%",7573,"182,9","+0,92%","+12,40%","47,7","0,62%"
jan/24,"239,1","+0,54%","+5,24%",7615,"185,8","+1,57%","+13,20%","48,5","0,62%"
fev/24,"241,5","+1,04%","+6,36%",7694,"189,1","+1,77%","+13,42%","49,3","0,62%"
mar/24,"244,7","+1,31%","+7,12%",7794,191,"+1,02%","+14,37%","49,8","0,62%"
abr/24,"247,7","+1,24%","+7,52%",7891,194,"+1,58%","+15,54%","50,6","0,62%"
mai/24,"249,2","+0,60%","+7,17%",7938,"195,7","+0,86%","+16,35%","51,1","0,62%"
jun/24,"249,1"," -0,03%","+6,45%",7935,"198,9","+1,62%","+17,44%","51,9","0,63%"
jul/24,250,"+0,36%","+6,54%",7964,"201,6","+1,39%","+18,29%","52,6","0,63%"
ago/24,"250,7","+0,25%","+6,63%",7984,"203,9","+1,16%","+17,58%","53,2","0,64%"
set/24,"252,1","+0,56%","+7,49%",8029,"205,5","+0,75%","+15,87%","53,6","0,64%"
out/24,"253,1","+0,40%","+7,75%",8061,"206,5","+0,49%","+14,61%","53,9","0,64%"
nov/24,"253,3","+0,10%","+7,44%",8069,209,"+1,23%","+15,32%","54,5","0,65%"
dez/24,"253,6","+0,09%","+6,64%",8076,"212,5","+1,66%","+16,17%","55,4","0,66%"
jan/25,"253,1"," -0,18%","+5,87%",8062,"214,9","+1,12%","+15,64%","56,1","0,67%"
fev/25,"253,7","+0,25%","+5,05%",8082,"217,2","+1,07%","+14,86%","56,7","0,68%"
mar/25,"254,1","+0,16%","+3,86%",8095,"219,1","+0,87%","+14,69%","57,2","0,68%"
abr/25,"254,7","+0,21%","+2,81%",8112,"221,3","+1,02%","+14,05%","57,7","0,69%"
mai/25,"256,1","+0,55%","+2,76%",8157,,,,,
