Data;Numero_Indice_Total;Var. mensal (%)Total;Var. em 12 meses (%)Total;Preço médio (R$/m²)Total
2020-01-01;152.1;-0.0078000000000000005;-0.08789999999999999;5725
2020-02-01;151.9;-0.0008;-0.0908;5720
2020-03-01;151.4;-0.0033;-0.09;5701
2020-04-01;151.1;-0.0024;-0.0911;5688
2020-05-01;150.9;-0.0008;-0.0868;5683
2020-06-01;151.2;0.0016;-0.08439999999999999;5692
2020-07-01;151.9;0.004699999999999999;-0.0794;5719
2020-08-01;152.6;0.004699999999999999;-0.0725;5746
2020-09-01;153.4;0.0052;-0.06269999999999999;5776
2020-10-01;154.6;0.0079;-0.0373;5822
2020-11-01;155.7;0.0070999999999999995;-0.0132;5863
2020-12-01;157.4;0.011200000000000002;0.0274;5928
2021-01-01;157.2;-0.0013;0.0341;5920
2021-02-01;156.9;-0.0021;0.032799999999999996;5908
2021-03-01;156.2;-0.0044;0.0317;5882
2021-04-01;156.1;-0.0006;0.0335;5878
2021-05-01;157.1;0.0060999999999999995;0.0407;5915
2021-06-01;158.2;0.0072;0.0466;5957
2021-07-01;160.1;0.0118;0.054000000000000006;6028
2021-08-01;161.4;0.008199999999999999;0.0575;6077
2021-09-01;162.3;0.0058;0.0582;6112
2021-10-01;163.7;0.0084;0.0588;6164
2021-11-01;164.9;0.0076;0.0593;6211
2021-12-01;166.2;0.0075;0.0554;6257
2022-01-01;167.4;0.0070999999999999995;0.0644;6302
2022-02-01;169.3;0.0118;0.07919999999999999;6376
2022-03-01;171.7;0.0141;0.0992;6466
2022-04-01;172.8;0.006500000000000001;0.107;6508
2022-05-01;173.4;0.0034000000000000002;0.1041;6530
2022-06-01;173.8;0.002;0.0983;6543
2022-07-01;174.8;0.0062;0.09210000000000002;6583
2022-08-01;175.9;0.0064;0.0902;6625
2022-09-01;176.7;0.0042;0.0885;6653
2022-10-01;177.7;0.005600000000000001;0.0855;6691
2022-11-01;178.8;0.0064;0.08410000000000001;6733
2022-12-01;179.9;0.0063;0.08289999999999999;6775
2023-01-01;181.3;0.0073;0.083;6825
2023-02-01;181.7;0.0027;0.0733;6843
2023-03-01;182.5;0.0044;0.06309999999999999;6873
2023-04-01;183.3;0.0039000000000000003;0.0603;6900
2023-05-01;184.5;0.006500000000000001;0.0636;6945
2023-06-01;186.4;0.0105;0.0726;7018
2023-07-01;187.9;0.0079;0.0745;7073
2023-08-01;188.8;0.0049;0.0729;7108
2023-09-01;188.7;-0.0006;0.0678;7104
2023-10-01;188.9;0.0014000000000000002;0.0633;7114
2023-11-01;189.4;0.0024;0.0591;7131
2023-12-01;189.6;0.0012;0.0537;7139
2024-01-01;189.8;0.001;0.0472;7147
2024-02-01;190.9;0.005600000000000001;0.050199999999999995;7187
2024-03-01;192.3;0.0076;0.0535;7241
2024-04-01;194.1;0.009300000000000001;0.0592;7309
2024-05-01;195.2;0.0059;0.058499999999999996;7351
2024-06-01;196.9;0.0083;0.0562;7412
2024-07-01;199.1;0.0115;0.06;7498
2024-08-01;202.4;0.016399999999999998;0.0721;7620
2024-09-01;204.6;0.011000000000000001;0.08449999999999999;7704
2024-10-01;206.2;0.0079;0.0915;7765
2024-11-01;208.3;0.01;0.0998;7843
2024-12-01;211.4;0.0149;0.1149;7960
2025-01-01;214.2;0.0131;0.1283;8064
2025-02-01;215.3;0.005;0.1278;8105
2025-03-01;215.8;0.0027;0.1223;8127
2025-04-01;218.0;0.0102;0.1233;8209
2025-05-01;220.6;0.011699999999999999;0.1298;8305
